id	lat	lng	households	buildDate	score	m2	p	min_sales	max_sales	avg_sales
10253	37.56227595	126.903065	107	200503	4.3	79	24	42200	52700	48500
15231	37.55417919	126.9093633	43	200411	5	85	26	44500	47800	45500
21101	37.55030163	126.8743183	36	200904	0	86	26	37000	40600	40000
5237	37.54796665	126.8747025	206	200105	4.4	80	24	44500	72800	58500
13898	37.54951957	126.8743242	64	199508	4.3	76	23	30900	30900	31000
19790	37.55249265	126.87412	41	200709	4	72	22	34000	51100	49000
3787	37.5369462	126.893677	216	200002	4.2	86	26	39600	65400	49000
3755	37.55397398	126.8742081	212	199807	3.8	87	26	32300	57100	45000
13918	37.54397514	126.8763296	121	200301	4	112	34	48300	63300	54500
1196	37.54903995	126.8740489	356	199410	4.2	79	24	34500	73800	47000
82056	37.5625792	126.903753	66	202009	0	68	21	46000	56000	52000
16836	37.55287796	126.8738251	52	200602	4.7	105	32	51100	51800	51500
19926	37.55053522	126.8736933	38	200808	0	81	25	36600	61400	49000
10010	37.5522389	126.873602	166	200411	3.9	76	23	37000	55700	46500
19496	37.55138561	126.8735515	135	200912	4.4	106	32	51800	55700	53500
17508	37.55329923	126.8734577	130	200705	4.3	109	33	51800	59700	57000
15978	37.5370799	126.89815	34	200602	4.5	77	23	31900	50000	40000
59015	37.53669405	126.8978832	91	198408	0	21	6	12300	17000	13000
26535	37.53875058	126.8810406	1882	198511	4.1	64	19	35600	106800	73000
20522	37.54345532	126.8755247	41	200602	4.7	92	28	33500	41500	36000
2405	37.55104243	126.8728007	106	199312	4.7	83	25	34300	39400	35500
7651	37.54818123	126.873145	422	200504	4.4	85	26	54200	79800	64000
11030	37.54949273	126.8728214	80	200511	0	121	37	49900	51700	50500
6483	37.55279756	126.8727931	168	200407	4.6	80	24	46600	58600	55000
302	37.5546978	126.872862	778	199806	4.1	85	26	32000	53000	41500
33198	37.5511255	126.911905	198	201608	4.5	111	34	91400	125900	103000
4382	37.5357591	126.896233	198	200003	4.5	85	26	34800	39700	39000
521	37.55162891	126.8719079	178	199402	4.2	79	24	28900	49400	38500
4209	37.54886488	126.8721163	256	199910	4.4	86	26	38100	39600	39000
24243	37.55002237	126.9122517	198	201504	4.8	111	34	98400	146000	126000
17878	37.54829234	126.9121089	70	200609	4.2	163	49	100100	105900	103000
523	37.55006805	126.8716028	140	199307	4	99	30	52500	53100	52500
15929	37.54293863	126.8742809	58	200503	5	88	27	33500	45000	44000
5242	37.55557908	126.8720867	297	200106	4	77	23	32700	73500	45500
4430	37.53672991	126.8822115	276	200011	3.8	99	30	74500	146000	102000
877	37.54130011	126.8755057	332	199204	4.2	101	31	51400	55000	53000
4217	37.55294724	126.8712312	249	200005	4.3	84	25	37300	67500	49000
13899	37.55248569	126.8710147	65	200303	5	100	30	63000	65200	64000
24395	37.55970509	126.9106513	49	200608	1	85	26	40000	80000	56500
22896	37.548221	126.913172	40	197306	3.5	55	17	16500	23000	19000
648	37.5342435	126.894071	372	199307	4.2	106	32	47900	47900	48000
38130	37.548866	126.870671	499	201903	0	72	22	49500	75000	68000
19450	37.5509353	126.9137807	617	201206	4.3	66	20	55500	259000	126000
4423	37.536354	126.8811214	240	200005	5	97	29	50000	152600	110000
18228	37.55162715	126.8702964	221	200712	4.7	103	31	48200	76500	56500
5891	37.5648586	126.9057781	127	199908	5	80	24	33900	58700	50500
4249	37.554069	126.870486	51	200610	4.3	110	33	47800	48800	48500
23103	37.55353375	126.8703746	54	201107	4	88	27	38200	62000	57500
13947	37.54494094	126.9125338	65	200304	4	100	30	42100	106000	56500
3754	37.55661603	126.871166	77	199204	4.5	90	27	34000	54200	48000
363	37.53466021	126.8848442	1368	198611	4.1	65	20	35100	118200	62500
12124	37.5362016	126.8800943	72	199905	5	160	48	80000	87100	84000
891	37.55556632	126.8702986	339	199011	3.8	90	27	31500	36800	35000
4134	37.54187744	126.8727755	299	199412	3.6	95	29	31800	32500	32500
27297	37.5358666	126.8802713	69	200310	5	140	42	60500	96000	79500
646	37.534245	126.8998337	205	199710	3.9	86	26	47700	69400	57500
7161	37.53586583	126.8795064	86	199903	4.6	154	47	99500	115300	101000
7162	37.53615335	126.8787321	84	199912	0	160	48	89800	119000	103000
359	37.53743738	126.8762272	1640	198609	4.1	84	25	45800	111200	77500
10606	37.5335956	126.900204	67	200209	5	93	28	51300	55300	54000
362	37.533944	126.882248	1848	198609	4.3	84	25	54000	117200	79500
937	37.53291085	126.8990481	410	198409	4.3	104	31	46900	74600	56500
1446	37.53203565	126.8955691	312	199008	4	98	30	40200	40200	40000
4093	37.5318713	126.893678	770	200012	4.2	72	22	41900	49100	46500
7147	37.56449088	126.9102563	112	199906	3.6	80	24	26500	39100	32500
80804	37.53323431	126.9022699	212	200502	0	38	11	29900	45000	34000
